AA0101,pg
AA0102,id
AA0103,id
AA0104,id
AA0105,pg
AA0105,id
AA0106,id
AA0107,pg
AA0108,id
AA0109,au-nsw
AA0110,pg
AA0111,pg
AA0112,pg
AA0113,nc
AA0114,nf
AA0115,pg
AA0115,id
AA0116,pg
AA0116,id
AA0117,au-qld
AA0118,id
AA0119,sb
AA0120,pg
AA0121,pg
AA0121,id
AA0122,pg
AA0122,id
AA0123,id
AA0124,id
AA0125,pg
AA0126,vu
AA0127,id
AA0128,id
AA0201,id
AA0202,nc
AA0203,id
AA0204,tl
AA0204,id
AA0401,nz
AA0402,au-nsw
AA0402,au-qld
AA0403,nz
AA0404,nz
AA0405,nz
AA0406,nz
AA0407,nz
AA0408,nz
AA0409,au-vic
AA0409,au-nsw
AA0409,au-act
AA0410,nz
AA0411,au-tas
AA0412,au-tas
AA0413,au-tas
AA0414,nz
AA0701,au-nt
AA0702,au-qld
AA0703,au-qld
aa0704,au-nt
aa0704,au-qld
AA0705,au-qld
aa0706,au-nt
aa0706,au-wa
AA0707,au-nt
aa0707,au-qld
AA0708,pg
AA0708,id
aa0709,au-nt
aa0709,au-wa
AA0801,nz
AA0802,au-nsw
AA0802,au-qld
AA0803,au-qld
AA0803,au-nsw
aa1001,au-vic
aa1001,au-nsw
aa1001,au-act
AA1002,pg
AA1002,id
AA1003,nz
AA1101,nz
aa1201,au-wa
aa1201,au-sa
aa1202,au-wa
aa1203,au-sa
aa1204,au-wa
aa1205,au-wa
aa1206,au-sa
aa1207,au-nsw
aa1207,au-vic
aa1207,au-sa
aa1208,au-nsw
aa1208,au-sa
aa1209,au-wa
aa1210,au-wa
aa1301,au-wa
aa1302,au-nt
aa1302,au-wa
aa1302,au-sa
aa1303,au-wa
aa1304,au-wa
aa1304,au-nt
aa1305,au-wa
aa1305,au-sa
aa1306,au-sa
aa1306,au-wa
aa1306,au-wa
aa1306,au-sa
aa1307,au-wa
aa1308,au-qld
aa1308,au-sa
aa1308,au-nsw
aa1308,au-nt
aa1309,au-nsw
aa1309,au-sa
aa1309,au-nt
aa1310,au-wa
AA1401,id
AA1401,pg 
AN1101,aq
AN1102,aq
AN1103,aq
AN1104,aq
AT0101,ug
AT0101,tz
AT0101,rw
AT0101,bi
AT0101,cd
AT0102,cm
AT0102,gq
AT0102,cg
AT0102,cd
AT0102,ga
AT0103,cm
AT0103,ng
AT0104,cd
AT0105,km
AT0106,ng
AT0107,cm
AT0107,ng
AT0108,tz
AT0108,ke
AT0108,ug
AT0108,sd
AT0109,tz
AT0109,ke
AT0110,cd
AT0111,ci
AT0111,gh
AT0111,tg
AT0111,bj
AT0112,sd
AT0112,er
AT0112,et
AT0112,so
AT0113,sc
AT0114,gn
AT0114,sl
AT0114,lr
AT0114,ci
AT0115,za
AT0116,za
AT0117,mg
AT0118,mg
AT0119,mz
AT0119,sz
AT0119,za
AT0120,mu
AT0120,re
AT0121,cm
AT0122,ng
AT0123,ng
AT0123,bj
AT0124,cd
AT0124,cf
at0125,ke
at0125,tz
at0125,so
AT0126,cm
AT0126,cf
AT0126,cd
AT0126,cg
AT0126,ga
AT0127,st
AT0128,mz
AT0128,tz
AT0129,cd
AT0129,cg
AT0129,cf
AT0130,gn
AT0130,sl
AT0130,lr
AT0130,ci
AT0201,cv
AT0202,mg
AT0203,zm
AT0203,ao
AT0701,ao
AT0701,cd
AT0702,ao
AT0702,na
AT0703,sh
AT0704,tz
AT0704,bi
AT0704,cd
AT0704,ao
AT0704,zm
AT0704,mw
AT0705,ng
AT0705,cm
AT0705,td
AT0705,cf
AT0705,sd
AT0705,er
AT0705,et
AT0705,ug
AT0705,cd
AT0706,tz
AT0706,mw
AT0706,mz
AT0707,sn
AT0707,gm
AT0707,gw
AT0707,sl
AT0707,gn
AT0707,lr
AT0707,ci
AT0707,gh
AT0707,tg
AT0707,bj
AT0707,ng
AT0707,cm
AT0708,tz
AT0708,cd
AT0708,zm
AT0709,na
AT0709,bw
AT0709,za
AT0709,zw
AT0710,cm
AT0710,ng
AT0711,et
AT0711,sd
AT0711,ug
AT0711,ke
AT0711,tz
AT0712,cm
AT0712,cf
AT0712,sd
AT0712,cd
AT0712,ug
AT0713,mr
AT0713,sn
AT0713,ml
AT0713,bf
AT0713,ne
AT0713,ng
AT0713,td
AT0713,cm
AT0713,cf
AT0713,sd
AT0713,er
AT0713,et
AT0714,tz
AT0715,ke
AT0715,so
AT0715,et
AT0715,er
AT0715,sd
AT0715,tz
AT0715,ke
AT0716,tz
AT0716,ke
AT0716,ug
AT0717,zw
AT0717,bw
AT0717,mz
AT0717,za
AT0718,cd
AT0718,ao
AT0719,mw
AT0719,mz
AT0719,zm
AT0719,zw
AT0720,sh
AT0721,et
AT0721,sd
AT0721,cd
AT0721,ug
AT0721,ke
AT0721,rw
AT0721,bi
AT0721,tz
AT0722,sn
AT0722,gm
AT0722,gn
AT0722,ci
AT0722,gh
AT0722,tg
AT0722,bj
AT0722,ng
AT0722,ne
AT0722,bf
AT0722,ml
AT0722,mr
AT0723,ga
AT0723,cg
AT0723,cd
AT0723,ao
AT0724,ao
AT0724,zm
AT0725,zm
AT0725,mw
AT0725,mz
AT0725,zw
AT0725,na
AT0725,bw
AT0725,sz
AT0725,za
AT0726,ao
AT0726,na
AT0726,bw
AT0726,zm
AT0726,zw
AT0801,om
AT0801,ae
AT0802,tf
AT0803,sh
AT0901,ke
AT0901,tz
AT0902,na
AT0903,ml
AT0904,td
AT0904,ne
AT0904,ng
AT0904,cm
AT0905,et
AT0905,sd
AT0906,mz
