AT0717,7,Southern Africa bushveld
AT0718,7,Southern Congolian forest-savanna mosaic
AT0719,7,Southern Miombo woodlands
AT0720,7,St. Helena scrub and woodlands
AT0721,7,Victoria Basin forest-savanna mosaic
AT0722,7,West Sudanian savanna
AT0723,7,Western Congolian forest-savanna mosaic
AT0724,7,Western Zambezian grasslands
AT0725,7,Zambezian and Mopane woodlands
AT0726,7,Zambezian Baikiaea woodlands 
AT0801,8,Al Hajar Al Gharbi montane woodlands
AT0802,8,Amsterdam and Saint-Paul Islands temperate grasslands
AT0803,8,Tristan Da Cunha-Gough Islands shrub and grasslands 
AT0901,9,East African halophytics
AT0902,9,Etosha Pan halophytics
AT0903,9,Inner Niger Delta flooded savanna
AT0904,9,Lake Chad flooded savanna
AT0905,9,Saharan flooded grasslands
AT0906,9,Zambezian coastal flooded savanna
AT0907,9,Zambezian flooded grasslands
AT0908,9,Zambezian halophytics 
AT1001,10,Angolan montane forest-grassland mosaic
AT1002,10,Angolan scarp savanna and woodlands
AT1003,10,Drakensberg alti-montane grasslands and woodlands
AT1004,10,Drakensberg montane grasslands, woodlands and forests
AT1005,10,East African montane moorlands
AT1006,10,Eastern Zimbabwe montane forest-grassland mosaic
AT1007,10,Ethiopian montane grasslands and woodlands
AT1008,10,Ethiopian montane moorlands
AT1009,10,Highveld grasslands
AT1010,10,Jos Plateau forest-grassland mosaic
AT1011,10,Madagascar ericoid thickets
AT1012,10,Maputaland-Pondoland bushland and thickets
AT1013,10,Ruwenzori-Virunga montane moorlands
AT1014,10,South Malawi montane forest-grassland mosaic
AT1015,10,Southern Rift montane forest-grassland mosaic 
AT1201,12,Albany thickets
AT1202,12,Lowland fynbos and renosterveld
AT1203,12,Montane fynbos and renosterveld 
AT1301,13,Aldabra Island xeric scrub
AT1302,13,Arabian Peninsula coastal fog desert
AT1303,13,East Saharan montane xeric woodlands
AT1304,13,Eritrean coastal desert
AT1305,13,Ethiopian xeric grasslands and shrublands
AT1306,13,Gulf of Oman desert and semi-desert
AT1307,13,Hobyo grasslands and shrublands
AT1308,13,Ile Europa and Bassas da India xeric scrub
AT1309,13,Kalahari xeric savanna
AT1310,13,Kaokoveld desert
AT1311,13,Madagascar spiny thickets
AT1312,13,Madagascar succulent woodlands
AT1313,13,Masai xeric grasslands and shrublands
AT1314,13,Nama Karoo
AT1315,13,Namib desert
AT1316,13,Namibian savanna woodlands
AT1317,13,Red Sea coastal desert
AT1318,13,Socotra Island xeric shrublands
AT1319,13,Somali montane xeric woodlands
AT1320,13,Southwestern Arabian foothills savanna
AT1321,13,Southwestern Arabian montane woodlands
AT1322,13,Succulent Karoo 
AT1401,14,Central African mangroves
AT1402,14,East African mangroves
AT1403,14,Guinean mangroves
AT1404,14,Madagascar mangroves
AT1405,14,Southern Africa mangroves 
IM0101,1,Andaman Islands rain forests
IM0102,1,Borneo lowland rain forests
IM0103,1,Borneo montane rain forests
IM0104,1,Borneo peat swamp forests
IM0105,1,Brahmaputra Valley semi-evergreen forests
IM0106,1,Cardamom Mountains rain forests
IM0107,1,Chao Phraya freshwater swamp forests
IM0108,1,Chao Phraya lowland moist deciduous forests
IM0109,1,Chin Hills-Arakan Yoma montane forests
IM0110,1,Christmas and Cocos Islands tropical forests
